,Case Number,Year,Type,Country,Area,Activity,Sex,Age,Injury,Fatal (Y/N),Provoked
3653,1964.12.0.a,1960's,Unprovoked,KENYA,Coast Province,Fishing with hand line tied to wrist & was pulled into the water,Undefined,10.0,FATAL,Yes,
3654,1964.11.2.a,1960's,Unprovoked,AUSTRALIA,Victoria ,Free diving with seals,Undefined,25.0,Left leg severed,No,
3655,1964.11.1.a,1960's,Unprovoked,AUSTRALIA,Queensland,Swimming out to rescue swimmers in difficulty,Undefined,29.0,FATAL,Yes,
3656,1964.11.1.a,1960's,Provoked,AUSTRALIA,New South Wales,"Filming underwater, carrying powerhead",Undefined,25.0,"Shark made threat display, then diver hit it with powerhead PROVOKED INCIDENT",No,Unknown
3657,1964.11.0.a,1960's,Boat,USA,Puerto Rico,Longline fishing,Unknown,0.0,"No injury to occupant, shark bit propeller of outboard motor",No,Unknown
3658,1964.10.3.a,1960's,Provoked,SOUTH AFRICA,KwaZulu-Natal,Surf fishing,Undefined,0.0,Right leg bitten  while attempting to gaff hooked shark PROVOKED INCIDENT,No,Unknown
3659,1964.10.2.a,1960's,Invalid,USA,Florida,Unknown,Unknown,0.0,"No injury to occupants, drove sharks away with paddles",Unknown,Unknown
3660,1964.10.0.a,1960's,Unprovoked,AUSTRALIA,Western Australia,"Surfing, but swimming to his board",Undefined,19.0,Abrasions & 11 teethmarks on right lower leg,No,
3661,1964.09.2.a,1960's,Invalid,,,Spearfishing,Undefined,24.0,"Disappeared, probable drowning but sharks in area led to speculation that he was taken by a shark",Unknown,Unknown
3662,1964.09.2.a,1960's,Unprovoked,TAIWAN,Northern Taiwan,Swimming,Undefined,32.0,FATAL,Yes,
3663,1964.09.0.a,1960's,Unprovoked,TAIWAN,Northern Taiwan,Swimming,Undefined,20.0,Right thigh &  elbow bitten,No,
3664,1964.08.2.a,1960's,Unprovoked,USA,Florida,Swimming,Undefined,14.0,Bruised & abraded ankle,No,
3665,1964.08.2.a,1960's,Unprovoked,MEXICO,Guerrero,Floating on his back in an inner tube,Undefined,19.0,Right thigh bitten,No,
